cropRegCode,state,year,season,Registered Area,Inspected Area,Certified Area,Crop,Variety,CropCode,VarietyCode,Source Class,Destination Class,Estimated Yeild (Qtl),Intake Quantity,Intake Verified Quantity,Sowing Week,Sowing Month,Harvesting Week,harvesting month,District,Block,Village,Sowed Quantity,cropPattern,typeOfSowing,cropCondition,Tc Quantity
K23-7-38,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,106,70,70,Week 3,JUNE,Week 2,DECEMBER,KALAHANDI,JUNAGARH,Karchala,1,Sole Cropping,Transplanting,good,70
R23-4-33,Odisha,2023-24,RABI (2023-24),0.8,0.8,0.8,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,12,13,13,Week 3,JANUARY,Week 5,MAY,MALKANGIRI,KHAIRAPUT,Oringi,1,Sole Cropping,Dibbling,good,12
R23-5-11,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,42,44.5,44.5,Week 4,OCTOBER,Week 2,APRIL,KENDUJHAR,BANSAPAL,Narsinghpur,0.6,Sole Cropping,Broadcasting,good,40.5
R23-7-192,Odisha,2023-24,RABI (2023-24),2,2,1.65,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,16.5,18,18,Week 5,JANUARY,Week 2,MAY,KALAHANDI,BHAWANIPATNA,Kusumsila,2.1,Sole Cropping,Dibbling,good,16.8
K23-1-2101,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,18,19.8,19.8,Week 4,AUGUST,Week 2,NOVEMBER,BARGARH,JHARBANDH,Chandibhata,0.4,Sole Cropping,Broadcasting,good,18
K23-1-900,Odisha,2023-24,KHARIF (2023),0.5,0.5,0.4,PaddyDhan,Vishnu Bhog,C002,V572,BREEDER,FOUNDATION I,8.8,9.68,9.68,Week 4,JUNE,Week 3,NOVEMBER,BARGARH,ATTABIRA,Larasara,0.3,Sole Cropping,Transplanting,good,11
K23-5-870,Odisha,2023-24,KHARIF (2023),5,5,5,Sesame (Gingelly/Til),SMARAK,C033,V386,FOUNDATION I,CERTIFIED I,45,40,40,Week 1,AUGUST,Week 1,NOVEMBER,MAYURBHANJ,JOSHIPUR,Basantapur,1,Sole Cropping,Broadcasting,good,40
R23-1-167,Odisha,2023-24,RABI (2023-24),1,1,1,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,18,19.5,19.5,Week 1,JANUARY,Week 4,MAY,SUNDARGARH,LEPHRIPARA,Giringkela,1.5,Sole Cropping,Broadcasting,good,20
K23-7-707,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU 1075 (IET 18482),C002,V015,BREEDER,FOUNDATION I,106,116.5,116.5,Week 4,JULY,Week 3,NOVEMBER,SONEPUR,DUNGURIPALI,Gandapali,1.2,Sole Cropping,Transplanting,good,106
R23-5-652,Odisha,2023-24,RABI (2023-24),3,3,3,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,21,20,20,Week 3,JANUARY,Week 2,APRIL,KENDUJHAR,KENDUJHAR SADAR,Badamuni,0.3,Sole Cropping,Broadcasting,good,23
K23-6-810,Odisha,2023-24,KHARIF (2023),8,8,8,Finger millet (Ragi),VL Mandua 379 (VL 379),C005,V457,FOUNDATION I,CERTIFIED I,96,96,96,Week 2,AUGUST,Week 2,OCTOBER,GANJAM,ASKA,Tumbathengapalli,0.8,,,,96
R23-5-18,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,60,55,55,Week 5,OCTOBER,Week 4,MARCH,KENDUJHAR,BANSAPAL,Marusuan,0.6,Sole Cropping,Broadcasting,good,50
K23-7-1431,Odisha,2023-24,KHARIF (2023),3,3,3,PaddyDhan,Hasanta,C002,V416,FOUNDATION I,CERTIFIED I,150,30,30,Week 2,JUNE,Week 3,NOVEMBER,NUAPADA,NUAPADA,Sarabang,1.4,Sole Cropping,Transplanting,good,30
R23-2-58,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,BREEDER,FOUNDATION I,30,30,30,Week 5,NOVEMBER,Week 3,MARCH,PURI,KANAS,Harasapada,3,Sole Cropping,Drilling,average,30
K23-1-2196,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,FOUNDATION I,CERTIFIED I,18,19.6,19.6,Week 4,AUGUST,Week 2,NOVEMBER,BARGARH,JHARBANDH,Beheraduburi,0.4,Sole Cropping,Broadcasting,good,19.5
K23-7-800,Odisha,2023-24,KHARIF (2023),6,6,6,PaddyDhan,Tarangini (MTU 1156),C002,V379,BREEDER,FOUNDATION I,306,274,274,Week 1,JULY,Week 5,NOVEMBER,KALAHANDI,Bhawanipatna Municipality,Bhawanipatna (M) - Ward No.20,3,Sole Cropping,Transplanting,good,306
R23-8-1177,Odisha,2023-24,RABI (2023-24),2,2,2,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,10,10,10,Week 2,FEBRUARY,Week 3,MAY,BALESHWAR,BASTA,Tentula,0.2,Sole Cropping,Broadcasting,good,11
R23-1-592,Odisha,2023-24,RABI (2023-24),8,8,8,PaddyDhan,CIHERANG SUB-1(BINA-11),C002,V343,BREEDER,FOUNDATION I,368,241.74,241.74,Week 2,FEBRUARY,Week 4,MAY,BARGARH,ATTABIRA,Chakuli,3.6,Sole Cropping,Transplanting,good,241.74
R23-2-20,Odisha,2023-24,RABI (2023-24),4,4,4,Ground nut PeanutMung phalli,CO-7,C026,V370,BREEDER,FOUNDATION I,64,63.9,63.9,Week 1,DECEMBER,Week 3,APRIL,PURI,PIPILI,Saraswatipur,6,Sole Cropping,Drilling,average,63.9
